"Name","gsm8k_cot/exact_match,strict-match","gsm8k_cot/exact_match_stderr,strict-match","gpqa_main_generative_n_shot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match_stderr,flexible-extract","task_configs.gpqa_main_cot_n_shot.generation_kwargs.top_p","Runtime","cli_configs.gen_kwargs.epsilon_cutoff","cli_configs.gen_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.epsilon_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_k","task_configs.gsm8k_cot.generation_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.min_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.temperature","cli_configs.gen_kwargs.eta_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.eta_cutoff","task_configs.gsm8k.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.top_p","task_configs.gsm8k_cot.generation_kwargs.temperature","task_configs.gsm8k_cot.generation_kwargs.epsilon_cutoff"
"gpqa_min_p_0.1_temp_0.5","","","0.3013392857142857","0.02170237569854563","","377","","","","","","","0.1","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_5","","","0.07589285714285714","0.012525868657785964","","164","","40","","40","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_4","","","0.08705357142857142","0.01333405315143962","","197","","40","","40","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_3","","","0.10714285714285714","0.014629141437839974","","192","","40","","40","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_2","","","0.15848214285714285","0.017273011966632962","","152","","40","","40","","","","2","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_1.5","","","0.24553571428571427","0.02035742845448456","","136","","40","","40","","","","1.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_1.0","","","0.24553571428571427","0.02035742845448455","","123","","40","","40","","","","1","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_0.7","","","0.2924107142857143","0.02151461125992853","","318","","40","","40","","","","0.7","","","","","","",""
"gpqa_main_generative_n_shot_top_k_40_temp_0.5","","","0.24107142857142855","0.020231102978728707","","121","","40","","40","","","","0.5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_5","","","0.09598214285714286","0.013932529261051327","","186","","15","","15","","","","5","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_4","","","0.13839285714285715","0.016332690091522346","","158","","15","","15","","","","4","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_3","","","0.13616071428571427","0.01622141086356979","","151","","15","","15","","","","3","","","","","","",""
"gpqa_main_generative_n_shot_top_k_15_temp_2","","","0.21875","0.019553084830742445","","139","","15","","15","","","","2","","","","","","",""
