"Name","gpqa_main_generative_n_shot/exact_match,flexible-extract","cli_configs.gen_kwargs.min_p","cli_configs.gen_kwargs.top_p","cli_configs.gen_kwargs.temperature","cli_configs.model_args"
"sparkling-feather-137","0.08928571428571429","0.1","","5","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"peach-aardvark-136","0.049107142857142856","0.05","","5","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"curious-haze-135","0.13839285714285715","0.1","","4","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"fresh-spaceship-134","0.09151785714285714","0.05","","4","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"toasty-leaf-133","0.22767857142857145","0.1","","3","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"sparkling-sun-132","0.21875","0.05","","3","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"unique-sea-131","0.27455357142857145","0.1","","2","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"jolly-shape-130","0.2767857142857143","0.05","","2","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"fanciful-microwave-129","0.31026785714285715","0.1","","1.5","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"pretty-snowball-128","0.29910714285714285","0.05","","1.5","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"cosmic-paper-127","0.34598214285714285","0.1","","1","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"graceful-brook-126","0.3392857142857143","0.05","","1","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"pleasant-feather-125","0.38169642857142855","0.1","","0.5","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"fanciful-firebrand-124","0.4017857142857143","0.05","","0.5","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"comic-tree-123","0.4241071428571429","0.1","","0","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
"happy-wave-122","0.4241071428571429","0.05","","0","pretrained=mistralai/Mistral-Large-Instruct-2407,dtype=auto,tensor_parallel_size=4,distributed_executor_backend=ray"
