"Name","gsm8k_cot/exact_match,strict-match","gsm8k_cot/exact_match_stderr,strict-match","gpqa_main_generative_n_shot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match_stderr,flexible-extract","task_configs.gpqa_main_cot_n_shot.generation_kwargs.top_p","Runtime","cli_configs.gen_kwargs.epsilon_cutoff","cli_configs.gen_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.epsilon_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_k","task_configs.gsm8k_cot.generation_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.min_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.temperature","cli_configs.gen_kwargs.eta_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.eta_cutoff","task_configs.gsm8k.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.top_p","task_configs.gsm8k_cot.generation_kwargs.temperature","task_configs.gsm8k_cot.generation_kwargs.epsilon_cutoff"
"wild-resonance-281","","","0.006696428571428571","0.0038575259588341233","","6420","","","","","","0.95","","5","","","","","","",""
"golden-dawn-280","","","0.002232142857142857","0.00223214285714288","","6414","","","","","","0.9","","5","","","","","","",""
"zany-pond-279","","","0.006696428571428571","0.003857525958834122","","6372","","","","","","0.95","","4","","","","","","",""
"lyric-voice-278","","","0.008928571428571428","0.0044492796694263065","","6258","","","","","","0.9","","4","","","","","","",""
"prime-sea-277","","","0.020089285714285716","0.006636234733658356","","6221","","","","","","0.95","","3","","","","","","",""
"leafy-dew-276","","","0.020089285714285716","0.006636234733658356","","6342","","","","","","","","5","","","","","","",""
"elated-salad-275","","","0.020089285714285716","0.0066362347336583576","","6149","","","","","","0.9","","3","","","","","","",""
"young-elevator-274","","","0.008928571428571428","0.004449279669426307","","6263","","","","","","","","4","","","","","","",""
"frosty-deluge-273","","","0.1875","0.0184611418495515","","3560","","","","","","0.95","","2","","","","","","",""
"deft-cosmos-272","","","0.21205357142857145","0.01933380703768345","","3063","","","","","","0.9","","2","","","","","","",""
"atomic-rain-271","","","0.029017857142857144","0.007939342343352638","","6149","","","","","","","","3","","","","","","",""
"bright-energy-270","","","0.2924107142857143","0.02151461125992853","","2259","","","","","","0.95","","1.5","","","","","","",""
"desert-frost-269","","","0.296875","0.021609729061250887","","2400","","","","","","0.9","","1.5","","","","","","",""
"firm-galaxy-268","","","0.20089285714285715","0.01895095029237262","","3810","","","","","","","","2","","","","","","",""
"light-morning-267","","","0.3325892857142857","0.02228419513671422","","2447","","","","","","0.95","","1","","","","","","",""
"glowing-waterfall-266","","","0.29017857142857145","0.021466115440571216","","2486","","","","","","","","1.5","","","","","","",""
"comfy-hill-265","","","0.3638392857142857","0.022755399088186735","","2669","","","","","","0.9","","1","","","","","","",""
"olive-tree-264","","","0.3125","0.021923384489444957","","2444","","","","","","","","1","","","","","","",""
"misty-shape-263","","","0.3950892857142857","0.02312275103172852","","2797","","","","","","0.95","","0.5","","","","","","",""
"misunderstood-grass-255","","","0.3772321428571429","0.02292522878095116","","4143","","","","","","","","0.5","","","","","","",""
"magic-moon-253","","","0.4017857142857143","0.023188458233805057","","2739","","","","","","0.9","","0.5","","","","","","",""
