"Name","gpqa_main_generative_n_shot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match_stderr,flexible-extract","gsm8k_cot/exact_match,strict-match","gsm8k_cot/exact_match_stderr,strict-match","gsm8k_cot/exact_match,flexible-extract","gsm8k_cot/exact_match_stderr,flexible-extract","gsm8k_cot_llama/exact_match,strict-match","gsm8k_cot_llama/exact_match_stderr,strict-match","gsm8k_cot_llama/exact_match,flexible-extract","gsm8k_cot_llama/exact_match_stderr,flexible-extract","Runtime"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","134"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","158"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","9"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","70"
"gpqa_main_generative_n_shot_min_p_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","0.234375","0.020035949758324928","","","","","","","","","158"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","2925"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","736"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","1020"
"gpqa_main_generative_n_shot_min_p_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","841"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","1081"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","870"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","900"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","421"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","1516"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","467"
"gpqa_main_generative_n_shot_min_p_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","0.234375","0.020035949758324928","","","","","","","","","160"
"gpqa_main_generative_n_shot_min_z_0.1_temp_1_vllm_meta-llama_Llama-3.2-1B-Instruct","","","","","","","","","","","2012"
