"Name","gsm8k_cot/exact_match,strict-match","gsm8k_cot/exact_match_stderr,strict-match","gpqa_main_generative_n_shot/exact_match,flexible-extract","gpqa_main_generative_n_shot/exact_match_stderr,flexible-extract","task_configs.gpqa_main_cot_n_shot.generation_kwargs.top_p","Runtime","cli_configs.gen_kwargs.epsilon_cutoff","cli_configs.gen_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.epsilon_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_k","task_configs.gsm8k_cot.generation_kwargs.top_k","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.min_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.temperature","cli_configs.gen_kwargs.eta_cutoff","task_configs.gpqa_main_generative_n_shot.generation_kwargs.eta_cutoff","task_configs.gsm8k.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.min_p","task_configs.gsm8k_cot.generation_kwargs.top_p","task_configs.gsm8k_cot.generation_kwargs.temperature","task_configs.gsm8k_cot.generation_kwargs.epsilon_cutoff"
"gsm8k_cot_top_k_180_temp_5","0","0","","","","269","","180","","","180","","","","","","","","","5",""
"gsm8k_cot_top_k_180_temp_4","0","0","","","","272","","180","","","180","","","","","","","","","4",""
"gsm8k_cot_top_k_180_temp_3","0","0","","","","266","","180","","","180","","","","","","","","","3",""
"gsm8k_cot_top_k_180_temp_2","0","0","","","","272","","180","","","180","","","","","","","","","2",""
"gsm8k_cot_top_k_180_temp_1.5","0.0037907505686125857","0.0016927007401501936","","","","281","","180","","","180","","","","","","","","","1.5",""
"gsm8k_cot_top_k_180_temp_1","0.17589082638362397","0.010487120635539606","","","","232","","180","","","180","","","","","","","","","1",""
"gsm8k_cot_top_k_50_temp_0.7","0.29946929492039426","0.01261630073551966","","","","237","","50","","","50","","","","","","","","","0.7",""
"gsm8k_cot_top_k_50_temp_0.5","0.3608794541319182","0.01322862675392514","","","","222","","50","","","50","","","","","","","","","0.5",""
"gsm8k_cot_top_k_15_temp_5","0","0","","","","275","","15","","","15","","","","","","","","","5",""
"gsm8k_cot_top_k_15_temp_4","0.000758150113722517","0.000758150113722517","","","","287","","15","","","15","","","","","","","","","4",""
"gsm8k_cot_top_k_15_temp_3","0.000758150113722517","0.0007581501137225247","","","","274","","15","","","15","","","","","","","","","3",""
"gsm8k_cot_top_k_15_temp_2","0.006065200909780136","0.0021386703014604695","","","","262","","15","","","15","","","","","","","","","2",""
"gsm8k_cot_top_k_15_temp_1.5","0.032600454890068235","0.004891669021939578","","","","266","","15","","","15","","","","","","","","","1.5",""
"gsm8k_cot_top_k_15_temp_1","0.1865049279757392","0.010729140039689906","","","","226","","15","","","15","","","","","","","","","1",""
"gsm8k_cot_top_k_40_temp_0.7","0.310841546626232","0.012748860507777729","","","","223","","40","","","40","","","","","","","","","0.7",""
"gsm8k_cot_top_k_40_temp_0.5","0.3608794541319182","0.01322862675392514","","","","233","","40","","","40","","","","","","","","","0.5",""
"gsm8k_cot_top_k_10_temp_5","0.000758150113722517","0.0007581501137225242","","","","274","","10","","","10","","","","","","","","","5",""
"gsm8k_cot_top_k_10_temp_4","0","0","","","","273","","10","","","10","","","","","","","","","4",""
"gsm8k_cot_top_k_10_temp_3","0.002274450341167551","0.001312157814867413","","","","279","","10","","","10","","","","","","","","","3",""
"gsm8k_cot_top_k_10_temp_2","0.00530705079605762","0.0020013057209480457","","","","253","","10","","","10","","","","","","","","","2",""
"gsm8k_cot_top_k_10_temp_1.5","0.04700530705079606","0.0058298983559372086","","","","263","","10","","","10","","","","","","","","","1.5",""
