"Name","task_configs.gpqa_main_generative_n_shot.generation_kwargs.min_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.top_p","task_configs.gpqa_main_generative_n_shot.generation_kwargs.temperature","gpqa_main_generative_n_shot/exact_match,flexible-extract"
"rosy-morning-30","0.2","","3","0.31473214285714285"
"decent-meadow-29","0.1","","3","0.24553571428571427"
"fearless-yogurt-28","0.05","","3","0.23883928571428573"
"earnest-plasma-27","","1","3","0.024553571428571428"
"celestial-galaxy-26","","0.95","3","0.026785714285714284"
"eternal-deluge-25","","0.9","3","0.033482142857142856"
"revived-resonance-24","0.2","","2","0.34375"
"driven-spaceship-23","0.1","","2","0.33035714285714285"
"stellar-dawn-22","0.05","","2","0.33705357142857145"
"deep-disco-21","","1","2","0.05580357142857143"
"fiery-night-20","","0.95","2","0.06473214285714286"
"sunny-spaceship-19","","0.9","2","0.078125"
"confused-water-18","0.2","","1","0.4040178571428571"
"golden-haze-17","0.1","","1","0.41517857142857145"
"daily-tree-16","0.05","","1","0.3861607142857143"
"curious-energy-15","","1","1","0.4107142857142857"
"colorful-bush-14","","0.95","1","0.3950892857142857"
"icy-wave-13","","0.9","1","0.40625"
"fresh-flower-12","0.2","","0.7","0.4196428571428571"
"visionary-totem-11","0.1","","0.7","0.421875"
"logical-morning-10","0.05","","0.7","0.41517857142857145"
"daily-dragon-9","","1","0.7","0.3950892857142857"
"bumbling-donkey-8","","0.95","0.7","0.41294642857142855"
"major-glade-7","","0.9","0.7","0.421875"
"proud-forest-6","0.2","","0.5","0.4330357142857143"
"pleasant-spaceship-5","0.1","","0.5","0.4107142857142857"
"tough-blaze-4","0.05","","0.5","0.4084821428571429"
"astral-water-3","","1","0.5","0.4084821428571429"
"confused-pyramid-2","","0.95","0.5","0.40625"
"polished-serenity-1","","0.9","0.5","0.4084821428571429"
